File,Lines of Code,Num Plays,Avg Play Size,Num Tasks,Avg Task Size
C:/Users/PC/Desktop/mitacs/Projet/ansible/playbooks/projects/ansible/ansible-lint/examples/playbooks/syntax-error-string.yml,6,1,4,1,2
C:/Users/PC/Desktop/mitacs/Projet/ansible/playbooks/projects/ansible/ansible-lint/examples/playbooks/syntax-error.yml,5,1,5,1,2
C:/Users/PC/Desktop/mitacs/Projet/ansible/playbooks/projects/ansible/ansible-lint/examples/playbooks/taskimports.yml,18,1,13,4,2
C:/Users/PC/Desktop/mitacs/Projet/ansible/playbooks/projects/ansible/ansible-lint/examples/playbooks/taskincludes.yml,10,1,8,3,1
C:/Users/PC/Desktop/mitacs/Projet/ansible/playbooks/projects/ansible/ansible-lint/examples/playbooks/task_in_list-0.yml,27,1,27,2,3
C:/Users/PC/Desktop/mitacs/Projet/ansible/playbooks/projects/ansible/ansible-lint/examples/playbooks/valid.yml,3,1,3,0,0
C:/Users/PC/Desktop/mitacs/Projet/ansible/playbooks/projects/ansible/ansible-lint/examples/playbooks/valid_with_alt_extension.yaml,7,1,5,1,2
C:/Users/PC/Desktop/mitacs/Projet/ansible/playbooks/projects/ansible/ansible-lint/examples/playbooks/warning-from-module.yml,11,1,11,1,7
C:/Users/PC/Desktop/mitacs/Projet/ansible/playbooks/projects/ansible/ansible-lint/examples/playbooks/with-skip-tag-id.yml,6,1,6,1,4
C:/Users/PC/Desktop/mitacs/Projet/ansible/playbooks/projects/ansible/ansible-lint/examples/playbooks/with-umlaut-ä.yml,4,1,4,0,0
C:/Users/PC/Desktop/mitacs/Projet/ansible/playbooks/projects/ansible/ansible-lint/examples/templates/playbooks/playbook.yml,5,0,0,1,1
C:/Users/PC/Desktop/mitacs/Projet/ansible/playbooks/projects/ansible/ansible-lint/test/schemas/negative_test/playbooks/environment.yml,3,1,2,0,0
C:/Users/PC/Desktop/mitacs/Projet/ansible/playbooks/projects/ansible/ansible-lint/test/schemas/negative_test/playbooks/failed_when.yml,7,1,6,1,4
C:/Users/PC/Desktop/mitacs/Projet/ansible/playbooks/projects/ansible/ansible-lint/test/schemas/negative_test/playbooks/gather_facts.yml,5,1,5,1,2
C:/Users/PC/Desktop/mitacs/Projet/ansible/playbooks/projects/ansible/ansible-lint/test/schemas/negative_test/playbooks/gather_subset.yml,5,1,5,1,2
C:/Users/PC/Desktop/mitacs/Projet/ansible/playbooks/projects/ansible/ansible-lint/test/schemas/negative_test/playbooks/gather_subset2.yml,6,1,6,1,2
C:/Users/PC/Desktop/mitacs/Projet/ansible/playbooks/projects/ansible/ansible-lint/test/schemas/negative_test/playbooks/gather_subset3.yml,6,1,6,1,2
C:/Users/PC/Desktop/mitacs/Projet/ansible/playbooks/projects/ansible/ansible-lint/test/schemas/negative_test/playbooks/gather_subset4.yml,5,1,5,1,2
C:/Users/PC/Desktop/mitacs/Projet/ansible/playbooks/projects/ansible/ansible-lint/test/schemas/negative_test/playbooks/ignore_errors.yml,7,1,6,1,4
C:/Users/PC/Desktop/mitacs/Projet/ansible/playbooks/projects/ansible/ansible-lint/test/schemas/negative_test/playbooks/import_playbook.yml,2,0,0,1,1
C:/Users/PC/Desktop/mitacs/Projet/ansible/playbooks/projects/ansible/ansible-lint/test/schemas/negative_test/playbooks/import_playbook_exclusive.yml,3,0,0,1,2
C:/Users/PC/Desktop/mitacs/Projet/ansible/playbooks/projects/ansible/ansible-lint/test/schemas/negative_test/playbooks/invalid-failed-when.yml,13,1,13,3,4
C:/Users/PC/Desktop/mitacs/Projet/ansible/playbooks/projects/ansible/ansible-lint/test/schemas/negative_test/playbooks/invalid-serial.yml,2,1,2,0,0
C:/Users/PC/Desktop/mitacs/Projet/ansible/playbooks/projects/ansible/ansible-lint/test/schemas/negative_test/playbooks/invalid.yml,4,1,3,0,0
C:/Users/PC/Desktop/mitacs/Projet/ansible/playbooks/projects/ansible/ansible-lint/test/schemas/negative_test/playbooks/invalid_become.yml,3,1,2,0,0
C:/Users/PC/Desktop/mitacs/Projet/ansible/playbooks/projects/ansible/ansible-lint/test/schemas/negative_test/playbooks/local_action.yml,4,1,3,1,1
C:/Users/PC/Desktop/mitacs/Projet/ansible/playbooks/projects/ansible/ansible-lint/test/schemas/negative_test/playbooks/loop.yml,7,1,6,1,4
C:/Users/PC/Desktop/mitacs/Projet/ansible/playbooks/projects/ansible/ansible-lint/test/schemas/negative_test/playbooks/loop2.yml,7,1,6,1,4
C:/Users/PC/Desktop/mitacs/Projet/ansible/playbooks/projects/ansible/ansible-lint/test/schemas/negative_test/playbooks/no_log_partial_template.yml,8,1,7,1,3
C:/Users/PC/Desktop/mitacs/Projet/ansible/playbooks/projects/ansible/ansible-lint/test/schemas/negative_test/playbooks/no_log_string.yml,8,1,7,1,3
C:/Users/PC/Desktop/mitacs/Projet/ansible/playbooks/projects/ansible/ansible-lint/test/schemas/negative_test/playbooks/roles.yml,3,1,2,0,0
C:/Users/PC/Desktop/mitacs/Projet/ansible/playbooks/projects/ansible/ansible-lint/test/schemas/negative_test/playbooks/run_once_list.yml,9,1,8,1,6
C:/Users/PC/Desktop/mitacs/Projet/ansible/playbooks/projects/ansible/ansible-lint/test/schemas/negative_test/playbooks/tags-mapping.yml,3,1,2,0,0
C:/Users/PC/Desktop/mitacs/Projet/ansible/playbooks/projects/ansible/ansible-lint/test/schemas/negative_test/playbooks/tags-number.yml,3,1,2,0,0
C:/Users/PC/Desktop/mitacs/Projet/ansible/playbooks/projects/ansible/ansible-lint/test/schemas/negative_test/playbooks/vas_prompt.yml,8,1,7,0,0
C:/Users/PC/Desktop/mitacs/Projet/ansible/playbooks/projects/ansible/ansible-lint/test/schemas/negative_test/playbooks/when.yml,10,1,10,1,6
C:/Users/PC/Desktop/mitacs/Projet/ansible/playbooks/projects/ansible/ansible-lint/test/schemas/test/playbooks/block.yml,10,1,10,2,4
C:/Users/PC/Desktop/mitacs/Projet/ansible/playbooks/projects/ansible/ansible-lint/test/schemas/test/playbooks/environment.yml,7,2,2,0,0
C:/Users/PC/Desktop/mitacs/Projet/ansible/playbooks/projects/ansible/ansible-lint/test/schemas/test/playbooks/failed_when.yml,19,1,16,3,5
C:/Users/PC/Desktop/mitacs/Projet/ansible/playbooks/projects/ansible/ansible-lint/test/schemas/test/playbooks/full-jinja.yml,15,1,8,1,4
C:/Users/PC/Desktop/mitacs/Projet/ansible/playbooks/projects/ansible/ansible-lint/test/schemas/test/playbooks/gather_facts.yml,5,1,5,1,2
C:/Users/PC/Desktop/mitacs/Projet/ansible/playbooks/projects/ansible/ansible-lint/test/schemas/test/playbooks/gather_subset.yml,13,2,6,2,2
