Playbook Path,Play Name,Task Name,duplicated code,complex playbook,high playbook coupling,Large Playbook,Unnecessary set_fact,Overriding facts,Incohesive Playbook,Unecessary Abstraction ,Insufficient Modularization,Inconsistent Naming Convention ,Large Play,Unnamed Play,Large Task,Long Task Name,Filename,Full_Path_and_Filename,GroupID
,,"If a keyfile is provided, copy the gpg keyfile to the key location",#,#,#,#,#,#,#,#,#,#,#,#,0,0,ceph_preinstall_apt,nan_ceph_preinstall_apt,ceph_preinstall_apt
,,Add ceph apt-keys,#,#,#,#,#,#,#,#,#,#,#,#,0,0,ceph_preinstall_apt,nan_ceph_preinstall_apt,ceph_preinstall_apt
,,Add ceph repo(s),#,#,#,#,#,#,#,#,#,#,#,#,0,0,ceph_preinstall_apt,nan_ceph_preinstall_apt,ceph_preinstall_apt
,,Update Apt cache,#,#,#,#,#,#,#,#,#,#,#,#,0,0,ceph_preinstall_apt,nan_ceph_preinstall_apt,ceph_preinstall_apt
C:\Users\PC\Desktop\mitacs\Projet\ansible\playbooks\projects\openstack\kolla-ansible\ansible\roles\memcached\tasks\check-containers.yml,,,0,0,0,0,0,0,0,0,0,0,#,#,#,#,check-containers,C:\Users\PC\Desktop\mitacs\Projet\ansible\playbooks\projects\openstack\kolla-ansible\ansible\roles\memcached\tasks\check-containers.yml_check-containers,check-containers
,,Check memcached container,#,#,#,#,#,#,#,#,#,#,#,#,1,0,check-containers,nan_check-containers,check-containers
C:\Users\PC\Desktop\mitacs\Projet\ansible\playbooks\projects\CentOS-PaaS-SIG\linchpin\dev_setup\playbooks\roles\pipeline\tasks\check_builds.yml,,,0,0,0,0,0,0,0,0,0,0,#,#,#,#,check_builds,C:\Users\PC\Desktop\mitacs\Projet\ansible\playbooks\projects\CentOS-PaaS-SIG\linchpin\dev_setup\playbooks\roles\pipeline\tasks\check_builds.yml_check_builds,check_builds
,,{{ container_config_name }} :: Wait for {{ container_config_name }} to be built and marked with latest tag,#,#,#,#,#,#,#,#,#,#,#,#,0,1,check_builds,nan_check_builds,check_builds
,,Modify tags on images,#,#,#,#,#,#,#,#,#,#,#,#,0,0,check_builds,nan_check_builds,check_builds
C:\Users\PC\Desktop\mitacs\Projet\ansible\playbooks\projects\hortonworks\ansible-hortonworks\playbooks\check_dynamic_blueprint.yml,,,0,0,0,1,0,0,0,0,0,0,#,#,#,#,check_dynamic_blueprint,C:\Users\PC\Desktop\mitacs\Projet\ansible\playbooks\projects\hortonworks\ansible-hortonworks\playbooks\check_dynamic_blueprint.yml_check_dynamic_blueprint,check_dynamic_blueprint
,Check if the dynamic blueprint requested configuration is correct,,#,#,#,#,#,#,#,#,#,#,1,0,#,#,check_dynamic_blueprint,nan_check_dynamic_blueprint,check_dynamic_blueprint
,,Fail if there is no Ansible inventory group matching the blueprint's host_groups,#,#,#,#,#,#,#,#,#,#,#,#,0,0,check_dynamic_blueprint,nan_check_dynamic_blueprint,check_dynamic_blueprint
,,Fail if ZooKeeper is not present,#,#,#,#,#,#,#,#,#,#,#,#,0,0,check_dynamic_blueprint,nan_check_dynamic_blueprint,check_dynamic_blueprint
,,Fail if Ranger prerequisites are not met,#,#,#,#,#,#,#,#,#,#,#,#,0,0,check_dynamic_blueprint,nan_check_dynamic_blueprint,check_dynamic_blueprint
,,Fail if Ranger KMS prerequisites are not met,#,#,#,#,#,#,#,#,#,#,#,#,0,0,check_dynamic_blueprint,nan_check_dynamic_blueprint,check_dynamic_blueprint
,,Fail if Atlas prerequisites are not met,#,#,#,#,#,#,#,#,#,#,#,#,0,0,check_dynamic_blueprint,nan_check_dynamic_blueprint,check_dynamic_blueprint
,,Fail if Streamline prerequisites are not met,#,#,#,#,#,#,#,#,#,#,#,#,0,0,check_dynamic_blueprint,nan_check_dynamic_blueprint,check_dynamic_blueprint
,,Fail if Registry prerequisites are not met,#,#,#,#,#,#,#,#,#,#,#,#,0,0,check_dynamic_blueprint,nan_check_dynamic_blueprint,check_dynamic_blueprint
,,Fail if Druid HA prerequisites are not met,#,#,#,#,#,#,#,#,#,#,#,#,0,0,check_dynamic_blueprint,nan_check_dynamic_blueprint,check_dynamic_blueprint
,,Fail if Amazon Linux prerequisites are not met,#,#,#,#,#,#,#,#,#,#,#,#,0,0,check_dynamic_blueprint,nan_check_dynamic_blueprint,check_dynamic_blueprint
,, Fail if the selected components should not be part of an HDP 3 blueprint,#,#,#,#,#,#,#,#,#,#,#,#,0,0,check_dynamic_blueprint,nan_check_dynamic_blueprint,check_dynamic_blueprint
,,Fail if the selected components should not be part of an HDP 2 blueprint,#,#,#,#,#,#,#,#,#,#,#,#,0,0,check_dynamic_blueprint,nan_check_dynamic_blueprint,check_dynamic_blueprint
,,Fail if the required HDFS components are not part of the blueprint,#,#,#,#,#,#,#,#,#,#,#,#,0,0,check_dynamic_blueprint,nan_check_dynamic_blueprint,check_dynamic_blueprint
,,Fail if HA NameNode prerequisites are not met (3 JournalNodes),#,#,#,#,#,#,#,#,#,#,#,#,0,0,check_dynamic_blueprint,nan_check_dynamic_blueprint,check_dynamic_blueprint
,,Fail if HA NameNode prerequisites are not met (ZKFC),#,#,#,#,#,#,#,#,#,#,#,#,0,0,check_dynamic_blueprint,nan_check_dynamic_blueprint,check_dynamic_blueprint
,,Fail if SECONDARY_NAMENODE is present with multiple NAMENODE,#,#,#,#,#,#,#,#,#,#,#,#,0,0,check_dynamic_blueprint,nan_check_dynamic_blueprint,check_dynamic_blueprint
,,Fail if the required Yarn components are not part of the blueprint,#,#,#,#,#,#,#,#,#,#,#,#,0,0,check_dynamic_blueprint,nan_check_dynamic_blueprint,check_dynamic_blueprint
,,Fail if the required Hive components are not part of the blueprint,#,#,#,#,#,#,#,#,#,#,#,#,0,0,check_dynamic_blueprint,nan_check_dynamic_blueprint,check_dynamic_blueprint
,,Fail if the required Druid components are not part of the blueprint,#,#,#,#,#,#,#,#,#,#,#,#,0,0,check_dynamic_blueprint,nan_check_dynamic_blueprint,check_dynamic_blueprint
,,Fail if the required Accumulo components are not part of the blueprint,#,#,#,#,#,#,#,#,#,#,#,#,0,0,check_dynamic_blueprint,nan_check_dynamic_blueprint,check_dynamic_blueprint
C:\Users\PC\Desktop\mitacs\Projet\ansible\playbooks\projects\RedHatQE\cinch\cinch\roles\jenkins_slave\tasks\check_swarm_errors.yml,,,0,0,0,0,0,0,0,0,0,0,#,#,#,#,check_swarm_errors,C:\Users\PC\Desktop\mitacs\Projet\ansible\playbooks\projects\RedHatQE\cinch\cinch\roles\jenkins_slave\tasks\check_swarm_errors.yml_check_swarm_errors,check_swarm_errors
